pack-name,data-duration,time-range,price,volume
15 گیگابایت,60 روزه,,53004.0,15360
20 گیگابایت,60 روزه,,69006.0,20480
15 گیگابایت,120 روزه,,62005.0,15360
25 گیگابایت,120 روزه,,90008.0,25600
۱ گیگابایت,30 روزه,,11445.0,1024
۲ گیگابایت,30 روزه,,14001.0,2048
۳ گیگابایت,30 روزه,,19001.0,3072
۴ گیگابایت,30 روزه,,21301.0,4096
۵ گیگابایت,30 روزه,,23602.0,5120
۷ گیگابایت,30 روزه,,28202.0,7168
۱۰ گیگابایت,30 روزه,,29502.0,10240
۴۰۰ مگابایت,15 روزه,,7630.0,400
۷۵۰ مگابایت,15 روزه,,9810.0,750
۱.۵ گیگابایت,15 روزه,,11501.0,1536
۲.۵ گیگابایت,15 روزه,,14501.0,2560
۳.۵ گیگابایت,15 روزه,,16501.0,3584
5 گیگابایت,15 روزه,,18501.0,5120
۲۰۰ مگابایت,7 روزه,,4796.0,200
۳۰۰ مگابایت,7 روزه,,5995.0,300
۵۰۰ مگابایت,7 روزه,,7630.0,500
۷۵۰ مگابایت,7 روزه,,9047.0,750
۱.۵ گیگابایت,7 روزه,,11881.0,1536
۲.۵ گیگابایت,7 روزه,,13001.0,2560
۵ گیگابایت,7 روزه,,18001.0,5120
۶۰ مگابایت,روزانه,,1744.0,60
۱۰۰ مگابایت,روزانه,,2398.0,100
۲۰۰ مگابایت,روزانه,,3488.0,200
۳۰۰ مگابایت,روزانه,,4251.0,300
۴۰۰ مگابایت,روزانه,,4905.0,400
۷۵۰ مگابایت,روزانه,,6213.0,750
۱.۵ گیگابایت,روزانه,,8066.0,1536
۲.۵ گیگابایت,روزانه,,10246.0,2560
۴۸ گیگابایت,365 روزه,,120010.0,49152
۷۲ گیگابایت,365 روزه,,155013.0,73728
۳۶ گیگابایت,180 روزه,,95008.0,36864
۴۸ گیگابایت,180 روزه,,115010.0,49152
۱۸ گیگابایت,90 روزه,,47004.0,18432
۲۴ گیگابایت,90 روزه,,58005.0,24576
۱۰ گیگابایت,60 روزه,,36003.0,10240
۱۵۰ مگابایت,3 روزه,,3815.0,150
۲۵۰ مگابایت,3 روزه,,4796.0,250
۴۰۰ مگابایت,3 روزه,,5777.0,400
۷۵۰ مگابایت,3 روزه,,7303.0,750
۱.۵ گیگابایت,3 روزه,,9810.0,1536
۲.۵ گیگابایت,3 روزه,,11990.0,2560
